,precision,recall,f1-score,support
No Purchase,0.9537234042553191,0.8712342079689018,0.9106145251396648,2058.0
Purchase,0.5477815699658704,0.7867647058823529,0.6458752515090543,408.0
accuracy,0.8572587185725872,0.8572587185725872,0.8572587185725872,0.8572587185725872
macro avg,0.7507524871105947,0.8289994569256274,0.7782448883243596,2466.0
weighted avg,0.8865602783874784,0.8572587185725872,0.8668133801107559,2466.0
