,precision,recall,f1-score,support
No Purchase,0.9536741214057508,0.8702623906705539,0.9100609756097561,2058.0
Purchase,0.5459183673469388,0.7867647058823529,0.644578313253012,408.0
accuracy,0.8564476885644768,0.8564476885644768,0.8564476885644768,0.8564476885644768
macro avg,0.7497962443763448,0.8285135482764534,0.777319644431384,2466.0
weighted avg,0.8862108822913973,0.8564476885644768,0.8661368368256718,2466.0
